id,cons_frac_pre,earnings_scale_pre,bad_earnings_scale_pre,time_self_pre,time_share_pre,earnings_share_pre,bad_share_pre,cons_frac,earnings_scale,bad_earnings_scale,time_self,time_share,earnings_share,bad_share,start_time,end_time,today,device_id,imei,Selectyourtheenumeratornam,Enterthehouseholdnumberfort,Selectthevillageyouarein,INSTRUCTIONSTOYOUWILLBEIN,age,Weregoingtousethewordhou,Yourhouseholdincludeshowmany,Adultmalesover60,Adultfemalesover60,Adultmales1460,Adultfemales1460,Malechildrenunder14,Femalechildrenunder14,Haveyoueverheldanyofthese,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,Nextwedliketoknowhowmany,Cattle,Donkeys,SheepandGoats,Pigs,Poultry,Otherbirds,Rabbits,Fishponds,Beehives,Doyougrowanycrops,Abouthowmuchlanddoyouculti,units,Forthenextcoupleofquestions,Letsthinkaboutallofthatti,Wevemarked10boxesonthissh,Helprespondenttoselectandp,Timespentdoingfarmingforsel,Timespentdoingfarmingforsha,Timespentdoingallotherthing,Nowthatwevethoughtabouthow,FirstcouldyouestimateinKsh,Nextforallthatyouproduceo,Nextcouldyouestimatetheval,Lastcouldyouestimatetheval,earnings,OkThatworksouttoearning,ThankyouNowIdliketokno,Firstcouldyouestimatehowmu,Nextforallthatyouproduced,BK,BL,bad_earnings,OkThatworksouttobad_ear,ThankyouNowIhaveonelast,cons_label,GreatthankyouNowtosummar,Beforewetakeabreakandmove,Inthesequestionsweusethet,ThankyouforthisWedliken,round_earnings,spacer,herd_unit,hhID,Inallofthefollowingchoices,set1,set1_code,OPENTOSETset1ANDENTERT,INTRODUCEBOTHHYPOTHETICALOPT,set2,set2_code,OPENTOSETset2ANDENTERT,CM,set3,set3_code,OPENTOSETset3ANDENTERT,CQ,set4,set4_code,OPENTOSETset4ANDENTERT,CU,Thankyoufortakingtimetothi,Doyousellanyofyourcropsat,CX,CY,CZ,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,group,location,gender,Wedliketoknowabitaboutth,Asbeforewedlikeyoutotell,ThankyouNowwewillmakeaf,AG,belief_animals_post,belief_landuse_post,belief_invest_post,belief_manage_post,belief_markets_post,_merge,worksize,depsize,edu_n,edu,site,gender_n,earn_n,bad_n,belief_animals,belief_landuse,belief_invest,belief_manage,belief_markets,land,diff_cons,diff_earn,diff_bad,diff_self,diff_share,earn_gap,ms_share_gap
1010102,2.539101569048809,25.6544403673444,33.45564659128166,-2.211700274266882,3.354739031289839,8.682983383306237,-30.89916379705398,.6868164995317417,34.19335351588972,25.09292035075093,-.8693695166160336,1.740884864354867,2.744613219291335,-30.20835157587108,08apr2024,09apr2024,08apr2024,collect:PUVmXuVGNiQzddX1,collect:PUVmXuVGNiQzddX1,Carolyne,102,Agoro East,,70,,,1,0,0,3,0,1,Village elders Committee or group leader Church leadership,0,0,1,0,0,0,1,1,0,0,,,,3,0,0,0,10,0,0,0,0,Yes,.3,acres,,,,,3,4,3,,0,12000,3000,1500,7500,,,0,3000,1500,0,1500,,a quarter,a quarter,Yes,,,,10,1000,20,2-3-102,,16,wpl,wpl,Option 2,20,ray,ray,Option 1,1,hxm,hxm,Option 2,2,qfj,qfj,Option 2,,,,,,328311095,69060691-dfcf-49a8-8dc6-1e07cc149de8,09apr2024,,,submitted_via_web,farm_squares,vLex4PnJZm3v574Etkmj8D,,62,3,Agoro East ,M,,,,Option 2,3,1,2,2,2,3,3,2,2,5,1,1,103,63,4,1,1,1,1,.12145749,-1.852285,8.5389128,-8.3627262,1.3423308,3.9525852,9.1004333,.19129692
1010104,2.051660374619776,20.3183888327841,25.37419914813467,1.007176428587994,.6721661472554115,3.102179488351969,-30.87204448945156,.5277047196240631,40.9150254202702,16.50765831145918,-.4124231099612107,1.900543110328297,2.976066435709393,-24.67438920451775,08apr2024,09apr2024,08apr2024,collect:PUVmXuVGNiQzddX1,collect:PUVmXuVGNiQzddX1,Carolyne,104,Agoro East,,43,,,0,0,1,1,0,2,None of the above,0,0,0,0,0,0,0,0,0,1,,,,0,0,6,0,10,0,0,0,0,Yes,1,acres,,,,,4,4,2,,7500,7500,7000,0,8000,,,0,7000,6000,0,1000,,a quarter,a quarter,Yes,,,,10,1000,20,2-3-104,,9,qlg,qlg,Option 1,7,bon,bon,Option 1,1,hxm,hxm,Option 2,5,exd,exd,Option 1,,,,,,328266911,17ec18fa-16ae-447e-992c-e52a5f9d214e,08apr2024,,,submitted_via_web,farm_squares,vLex4PnJZm3v574Etkmj8D,,60,4,Agoro East ,M,,,,Option 1,4,2,1,1,1,3,2,2,1,3,1,1,109,51,2,2,2,2,2,.40485829,-1.5239557,20.596636,-8.8665409,-1.4195995,.89336669,24.407368,.077867597
1010201,5.587437893155932,9.69845025791891,23.85385490406905,-1.441320891764761,.8026775472773444,.8726496435798555,-30.98725587366713,2.213037687212788,19.45163267418306,17.53112664054425,-.024868122273886,-1.046481536556237,3.05470274945295,-24.04314192054558,08apr2024,08apr2024,08apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,201,Agoro East,,60,,,0,1,0,3,1,0,None of the above,0,0,0,0,0,0,0,0,0,1,,,,1,2,0,0,2,0,0,0,0,Yes,.2,acres,,,,,3,3,4,,2000,10000,5000,3000,4000,,,0,2500,5000,7000,-9500,,a half,a half,Yes,,,,10,1000,20,2-4-201,,20,ray,ray,Option 2,15,zam,zam,Option 2,8,ubn,ubn,Status Quo,19,ikc,ikc,Option 2,,,,,,328235382,aa40fa0f-a43d-431a-a94f-b2c27aca143f,08apr2024,,,submitted_via_web,farm_squares,vLex4PnJZm3v574Etkmj8D,,37,2,Agoro East ,W,,,,Option 2,3,2,1,1,1,3,3,2,5,2,1,2,73,49,3,2,1,1,1,.080971658,-3.3744001,9.7531824,-6.3227282,1.4164528,.39483935,1.920506,-.54489887
1010211,3.196298066626135,22.84610493692459,25.60233277578572,-3.747831004711125,.318482500844145,11.83572705295185,-31.75557229605461,2.76300478586418,13.52680632222646,14.30722094970471,.3596343113880905,.1487234246708759,3.599078341181251,-36.33420835921032,10apr2024,10apr2024,10apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,211,Agoro East,,76,,,0,1,1,2,1,1,None of the above,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,2,0,2,0,0,0,0,Yes,1,acres,,,,,2,1,7,,5000,10000,3000,4000,8000,,,1000,5000,4000,4000,-2000,,a quarter,a quarter,Yes,,,,10,1000,20,2-4-211,,18,wcj,wcj,Option 2,1,hxm,hxm,Option 2,10,fah,fah,Option 1,4,wmz,wmz,Option 1,,,,,,328738402,40c22d3f-223f-4e18-97d1-fde5b9835f5a,10apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,82,9,Agoro East ,W,,,,Option 2,3,2,2,2,2,3,3,3,4,1,1,2,109,13,3,2,3,2,2,.40485829,-.43329328,-9.3192987,-11.295112,4.1074653,3.8965545,-.78041464,-.19056976
1010214,2.933326432345659,18.49175348305119,30.09025883090737,-.9438813765869395,2.599834756333776,6.427985721432552,-31.29213052082666,2.809924940532002,15.92536506381989,20.00188720996245,-.4434463561121461,2.198610835994369,3.647230935270123,-32.63303166855037,11apr2024,11apr2024,11apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,214,Agoro East,,57,,,0,0,2,2,0,1,Committee or group leader,0,0,0,0,0,0,1,0,0,0,0,0,,10,0,21,0,7,0,1,0,0,Yes,1,acres,,,,,5,3,2,,0,100000,70000,20000,10000,,,0,20000,70000,70000,-120000,,three quarters,three quarters,Yes,,,,10,1000,20,2-4-214,,13,lgi,lgi,Option 2,20,ray,ray,Option 2,3,hiw,hiw,Option 1,11,jco,jco,Option 2,,,,,,328979797,d1d1748e-f44e-4086-8f78-40d15cc3b072,11apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,101,11,Agoro East ,W,,,,Option 1,4,2,1,1,1,3,4,1,6,4,1,2,8,4,4,1,1,1,1,.40485829,-.12340149,-2.5663884,-10.088371,.50043499,3.1424923,-4.0765224,-.53933489
1010215,1.718826673164254,15.95586361912979,27.5614602988639,-2.884318808145829,-3.564686324945841,-1.824356303626258,-30.68146159297681,3.61575227273975,11.41094680094336,20.11367565670083,-.3213181890459132,.712585999494309,4.174527614064273,-30.53229944993032,11apr2024,11apr2024,11apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,215,Agoro East,,22,,,0,0,2,1,1,0,None of the above,0,0,0,0,0,0,0,0,0,1,0,0,,2,0,5,0,12,0,0,0,0,Yes,2,acres,,,,,4,3,3,,0,30000,15000,5000,10000,,,0,10000,15000,20000,-25000,,a half,a half,Yes,,,,10,1000,20,2-4-215,,14,dgq,dgq,Option 2,12,blg,blg,Option 2,15,zam,zam,Option 1,19,ikc,ikc,Option 1,,,,,,328979794,5275491c-b268-4caa-9568-7141f10fc200,11apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,100,12,Agoro East ,W,,,,Option 1,2,1,1,3,2,3,3,1,2,5,1,2,8,17,4,1,2,2,2,.80971658,1.8969256,-4.5449166,-7.4477844,2.5630007,3.5969048,-8.7027292,-.081880748
1010219,.3834215041964357,34.72465821314943,38.57012892023321,-.8629826692040582,-2.954229712059743,5.274696949368477,-31.66992765017234,1.557182027348275,70.57089806837359,20.76138082082809,-1.232013270870695,3.696792297422443,5.217310478952578,-25.82276161327138,15apr2024,15apr2024,15apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,219,Jimo East,,48,,,1,0,1,2,2,1,None of the above,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,20,0,0,0,0,Yes,.5,acres,,,,,5,3,2,,1000,10000,10000,20000,-19000,,,0,500,10000,30000,-39500,,a half,a half,Yes,,,,10,1000,20,1-4-219,,18,wcj,wcj,Option 1,12,blg,blg,Option 2,19,ikc,ikc,Option 1,5,exd,exd,Option 1,,,,,,330018136,f5f4edd7-0557-403a-a316-62a6b8165483,16apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,138,17,Jimo East ,W,,,,Option 2,4,1,1,1,1,3,3,4,1,3,2,2,2,27,2,1,1,1,1,.20242915,1.1737605,35.846241,-17.808748,-.36903059,4.5597749,49.809517,.074218594
1010220,1.63942832710949,14.63345825905989,25.2453380696046,-2.316487604070916,.2682171374117692,1.711442740924667,-30.92526883426493,2.377811055882721,29.64243123957128,17.88946593774903,.3558244509900225,-.1069353090548427,3.804615964851416,-25.14902772008888,15apr2024,15apr2024,15apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,220,Jimo East,,76,,,1,1,1,0,0,0,Church leadership,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,3,0,0,0,0,Yes,.5,acres,,,,,3,3,4,,0,5000,2000,500,2500,,,0,2000,1000,6000,-5000,,a quarter,a quarter,Yes,,,,10,1000,20,1-4-220,,10,fah,fah,Option 1,1,hxm,hxm,Option 2,2,qfj,qfj,Option 1,9,qlg,qlg,Option 1,,,,,,330018138,9933adff-3f8b-4ffa-a73f-f4e4545b5bc4,16apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,139,18,Jimo East ,W,,,,Option 2,4,1,1,1,1,3,1,2,5,2,2,2,53,36,3,2,2,2,2,.20242915,.73838276,15.008973,-7.3558722,2.672312,2.2095523,11.752965,-.009098581
1010226,4.495021855115719,24.7808705983009,31.10358731337234,-.8870602026803835,-.0460273314410347,6.009437818146305,-30.90933486242652,3.830958955800944,15.67625161616057,19.74687916367168,-.8220494676046376,.4656731713458888,3.437219232831995,-28.73144344428496,18apr2024,18apr2024,18apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,226,Lynaginga,,34,,,0,0,2,3,3,1,None of the above,0,0,0,0,0,0,0,0,0,1,0,0,,3,0,0,0,8,0,0,0,0,Yes,1.5,acres,,,,,5,2,3,,5000,20000,15000,3000,7000,,,3000,15000,15000,10000,-7000,,a half,a half,Yes,,,,10,1000,20,3-4-226,,2,qfj,qfj,Option 2,11,jco,jco,Option 2,17,toy,toy,Option 2,20,ray,ray,Option 2,,,,,,331402369,ebe60356-c420-4d24-b90c-00919ae4e210,19apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,187,24,Lyanginga ,W,,,,Option 1,3,1,1,1,1,3,5,4,5,2,3,2,99,44,3,2,1,1,1,.60728747,-.66406292,-9.104619,-11.356709,.065010734,1.3527334,-4.0706277,-.11439837
1010227,4.288450800607737,20.46956122288705,25.26906110640618,-2.074321975839616,-.0430073958151005,1.774480460536946,-31.08712690330531,2.508651724448973,17.09258777936654,18.9763910937131,-.3247526501939379,2.389544892341777,4.175023725253204,-37.8975375795463,18apr2024,18apr2024,18apr2024,collect:6Nk0OyKCn2nzY2x6,collect:6Nk0OyKCn2nzY2x6,Nelson,227,Lynaginga,,42,,,0,0,2,3,1,1,Church leadership,0,0,0,0,0,0,0,1,0,0,0,0,,3,0,0,0,6,2,0,0,0,Yes,1,acres,,,,,6,2,2,,2000,20000,10000,1000,11000,,,0,3000,5000,10000,-12000,,a quarter,a quarter,Yes,,,,10,1000,20,3-4-227,,4,wmz,wmz,Option 1,15,zam,zam,Option 2,16,wpl,wpl,Option 1,14,dgq,dgq,Option 2,,,,,,331402372,5f94430b-4d97-405b-b8d3-bc3f600606a2,19apr2024,,,submitted_via_web,farm_squares,vwKMA7mRdidyru7RTAEv4y,,188,26,Lyanginga ,W,,,,Option 1,2,2,2,1,1,3,5,2,6,4,3,2,17,3,3,1,1,1,2,.40485829,-1.7797991,-3.3769734,-6.2926702,1.7495693,4.4638667,-1.8838034,-1.2684683
