id,group,choice,cons_frac,earnings,bad_earnings,time_self,time_share,pre_post
1010102,1,0,1,9000,7000,0.5,0.1,1
1010102,1,1,0.25,12000,7000,0.1,0.3,1
1010102,1,0,0.25,7500,1500,0.3,0.4,1
1010102,2,1,0.75,11000,4000,0.3,0.5,1
1010102,2,0,1,10000,4000,0.3,0.1,1
1010102,2,0,0.25,7500,1500,0.3,0.4,1
1010102,3,0,0,9000,7000,0.3,0.3,1
1010102,3,1,1,12000,10000,0.5,0.1,1
1010102,3,0,0.25,7500,1500,0.3,0.4,1
1010102,4,0,0,10000,4000,0.1,0.5,1
1010102,4,1,0.5,11000,10000,0.3,0.5,1
1010102,4,0,0.25,7500,1500,0.3,0.4,1
1010102,5,1,0.5,12000,10000,0.5,0.3,2
1010102,5,0,0,10000,4000,0.1,0.3,2
1010102,5,0,0.25,7500,1500,0.3,0.4,2
1010102,6,1,0.25,11000,10000,0.5,0.3,2
1010102,6,0,0.75,10000,6000,0.5,0.1,2
1010102,6,0,0.25,7500,1500,0.3,0.4,2
1010102,7,0,1,9000,7000,0.5,0.1,2
1010102,7,1,0.25,12000,7000,0.1,0.3,2
1010102,7,0,0.25,7500,1500,0.3,0.4,2
1010102,8,0,0,10000,4000,0.1,0.5,2
1010102,8,1,0.5,11000,10000,0.3,0.5,2
1010102,8,0,0.25,7500,1500,0.3,0.4,2
1010104,9,1,0.25,11000,10000,0.5,0.3,1
1010104,9,0,0.75,10000,6000,0.5,0.1,1
1010104,9,0,0.25,8000,1000,0.4,0.4,1
1010104,10,1,1,10000,9000,0.3,0.5,1
1010104,10,0,0.5,9000,5000,0.5,0.1,1
1010104,10,0,0.25,8000,1000,0.4,0.4,1
1010104,11,0,0,9000,7000,0.3,0.3,1
1010104,11,1,1,12000,10000,0.5,0.1,1
1010104,11,0,0.25,8000,1000,0.4,0.4,1
1010104,12,1,0.5,11000,10000,0.3,0.3,1
1010104,12,0,1,9000,5000,0.1,0.5,1
1010104,12,0,0.25,8000,1000,0.4,0.4,1
1010104,13,0,1,9000,7000,0.5,0.1,2
1010104,13,1,0.25,12000,7000,0.1,0.3,2
1010104,13,0,0.25,8000,1000,0.4,0.4,2
