	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	Total Score	Variation in Score	Total yield	Grazing yield	Low-intensity yield	High-intensity yield	Grazing share of yield	End of game soil health	Average soil health along game	Lowest soil health	Number gifts	Sum gifts
												
totalscore												
2.gender	511.6*	-4,210	111.3	-215.7**	71.75***	-13.58*	-0.0785**	0.0596	0.0654	0.102	-1.165	-56.17
3.gender	701.4***	-6,701	48.82	-101.4	42.14***	-11.59	-0.0313	-0.0206	0.0733	0.0674	0.0525	53.99
2.treatment	-893.5***	-59,603***	-45.66	6.999	8.196	-5.322	0.00314	0.121	0.0786	0.0644	1.910**	131.1**
3.treatment	-17.94	-78,086***	142.3	-120.8	4.685	12.06	-0.0528	-0.372**	-0.159*	-0.215**	-0.694	-25.92
4.treatment	230.7	2,246	132.8	-14.86	5.920	2.420	-0.00943	-0.0193	0.00142	0.0267	0.102	16.36
2.site	1,388***	30,743	1,622***	-144.6	76.70***	27.79**	-0.125**	0.116	-0.0537	0.0142	1.570	184.3**
3.site	497.4	29,523	754.6***	186.4*	2.370	6.667	0.0276	-0.0314	-0.00852	-0.00820	-0.502	7.194
age	-55.06***	-1,792*	-31.86**	5.022	-3.415***	0.251	0.00424**	-0.0145*	-0.0145***	-0.00767	0.0441	0.563
edu	-663.8**	4,115	-132.6	280.1***	-86.77***	13.08*	0.129***	-0.570***	-0.220***	-0.196**	-1.648**	-96.63*
land	530.6**	11,979	113.6	-149.7*	68.26***	-15.02*	-0.0526	0.398***	0.184**	0.196**	1.158	91.01
earnings	-0.000816	0.128	0.00392	-0.00354**	0.000563*	0.000177	-1.61e-06**	4.79e-06	-5.56e-07	1.06e-06	-2.96e-05*	-0.00170
bad_earnings	0.00476	-0.124	-0.00695	-0.000718	4.66e-05	-0.000197	6.53e-08	2.72e-06	1.93e-06	2.99e-06	3.47e-05	-0.000269
time_self	-796.4***	-13,071	-512.4**	214.1***	-49.01***	-10.33	0.114***	-0.173	-0.0556	-0.0127	-0.745	-85.67
time_share	-511.2	-55,349**	-802.9**	211.3*	-11.90	-36.21***	0.151***	0.500**	0.322***	0.343***	-0.0538	-20.40
cons_frac	801.8**	-53,269**	-144.1	-422.5***	120.5***	-27.60**	-0.159***	0.435**	0.325**	0.199	0.496	41.56
cattle	4.882	6,868	97.98	71.99**	-16.09**	4.726	0.0228*	-0.0688	-0.0250	0.000316	0.345	17.88
shoat	87.34**	-2,974	25.26	-37.04***	10.32***	-1.171	-0.0150***	0.0215	0.00825	0.00820	-0.0773	-4.237
varscore												
totalyield												
totalyield3												
totalyield15												
totalyield32												
grazing_yield_share												
soilhealth_round15												
mean_soil_health												
min_soil_health												
numgifts												
sumgifts												
Constant	7,733***	399,435***	7,466***	-701.3	271.7**	159.6**	-0.692**	2.573**	2.420***	1.360*	4.566	471.5
												
Observations	71	71	71	71	71	71	71	71	71	71	71	71
R-squared	0.630	0.599	0.549	0.444	0.659	0.538	0.598	0.547	0.513	0.439	0.405	0.434
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
